id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_potentially_hazardous,close_approach_date,relative_velocity_kps,miss_distance_km
2418198,418198 (2008 CN70),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2418198,18.94,433.0668854756,968.3669947276,False,2025-09-29,17.9454671326,45709341.65139386
54214066,(2021 UK6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54214066,25.04,26.0948603255,58.3498815511,False,2025-09-29,19.8101233592,60303062.154871102
54248647,(2022 DO4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54248647,27.16,9.8300330186,21.9806220506,False,2025-09-29,18.9965913989,46809179.850989901
54305651,(2022 SK4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54305651,30.35,2.2623249055,5.058712276,False,2025-09-29,22.3193519743,61662023.32799003
54308051,(2022 SL11),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54308051,24.98,26.8259417119,59.9846292283,False,2025-09-29,12.6889256195,15564775.057916798
54381677,(2023 RG5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54381677,21.47,135.0687798326,302.0229733436,False,2025-09-29,27.9292957548,59121618.406948783
54391018,(2023 TO1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54391018,24.48,33.7718597164,75.5161740526,False,2025-09-29,15.545616905,19072140.174333784
54539479,(2025 OS12),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54539479,22.13,99.6678239968,222.8640296264,False,2025-09-29,10.2319380069,28011515.640220512
54539493,(2025 OD13),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54539493,22.03,104.3650238292,233.3672877555,False,2025-09-29,10.396784491,7839287.811842462
54545420,(2025 RH4),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545420,24.173,38.9004814699,86.9841209242,False,2025-09-29,17.2410914392,6820969.994505308
